epoch, time    , train/loss, metrics/accuracy_top1, metrics/accuracy_top5, val/loss, lr/pg0     , lr/pg1     , lr/pg2
    1,  12.6596,    0.50878,               0.98372,                     1,  0.05184, 0.000471319, 0.000471319, 0.000471319
    2,  23.8651,    0.10613,               0.99767,                     1,  0.02187, 0.000853835, 0.000853835, 0.000853835
    3,  36.179 ,    0.08398,               0.99535,                     1,  0.01818, 0.00114204 , 0.00114204 , 0.00114204
    4,  47.9114,    0.11027,               1      ,                     1,  0.00828, 0.00100459 , 0.00100459 , 0.00100459
    5,  60.3012,    0.04719,               0.99767,                     1,  0.00883, 0.000863116, 0.000863116, 0.000863116
    6,  73.6574,    0.07237,               1      ,                     1,  0.00414, 0.000721645, 0.000721645, 0.000721645
    7,  85.99  ,    0.04256,               1      ,                     1,  0.00559, 0.000580174, 0.000580174, 0.000580174
    8,  98.7564,    0.02956,               1      ,                     1,  0.00468, 0.000438703, 0.000438703, 0.000438703
    9, 109.879 ,    0.02936,               1      ,                     1,  0.0047 , 0.000297232, 0.000297232, 0.000297232
   10, 119.722 ,    0.02499,               1      ,                     1,  0.00205, 0.000155761, 0.000155761, 0.000155761
